,selected,transfers_balance,transfers_in,transfers_out,ict_index,value,label
12,2174,225,294,69,0.0,49,0
13,2439,255,340,85,0.9,49,0
14,8127,5371,5769,398,6.9,49,0
15,50710,41351,42429,1078,0.4,49,0
16,70189,19768,26105,6337,0.0,49,0
17,28819,-23775,5386,29161,0.0,49,0
18,27692,-18639,467,19106,0.4,49,0
19,23321,-6746,1170,7916,0.0,49,0
20,16714,-6656,358,7014,2.5,49,0
21,15113,-1749,869,2618,0.0,49,0
22,12570,-2608,222,2830,0.0,49,0
23,10579,-2026,291,2317,0.0,49,0
24,9529,-1211,165,1376,0.0,49,0
0,1121565,0,0,0,1.2,45,0
1,1159789,-21416,61649,83065,0.4,45,0
2,1227969,33686,143115,109429,0.8,45,0
3,1214001,-23063,46393,69456,1.0,45,0
4,1174518,-48683,55150,103833,0.3,45,0
5,1140776,-40165,24877,65042,1.3,45,0
6,1091946,-49697,6086,55783,0.0,45,0
7,1044465,-49506,9222,58728,1.2,45,0
8,1013226,-29558,11732,41290,2.0,45,0
9,990709,-25792,5071,30863,0.8,45,0
10,976199,-15494,11247,26741,1.2,45,0
11,973038,-9295,12610,21905,3.0,44,-1
12,970286,-4650,13263,17913,0.0,44,0
13,932077,-40082,10976,51058,0.0,44,0
14,868073,-63107,6654,69761,0.0,44,0
15,818452,-51746,4511,56257,0.0,43,-1
16,762122,-57760,9073,66833,0.0,43,0
17,650934,-51785,16240,68025,0.0,43,0
18,653914,-46755,5894,25019,0.0,42,-1
19,637379,-16359,1860,18219,0.0,42,0
20,611844,-25842,2388,28230,0.0,42,0
21,585247,-26741,1193,27934,0.0,42,0
22,556136,-29298,2574,31872,4.6,42,0
23,547090,-9518,8624,18142,0.0,42,0
24,538258,-9943,3330,13273,0.0,42,0
0,473242,0,0,0,11.5,80,0
1,1119588,407231,474433,67202,3.1,81,1
2,858445,-253539,81422,334961,1.5,81,0
3,902846,-2745,133795,136540,1.5,80,-1
4,667520,-236095,27924,264019,3.4,79,-1
5,500111,-175335,5542,180877,0.0,79,0
6,397965,-110167,2777,112944,0.8,78,-1
7,382402,-21502,14695,36197,3.4,78,0
8,343737,-39196,5602,44798,1.2,77,-1
9,300636,-43777,851,44628,4.6,77,0
10,285828,-16828,2840,19668,4.6,76,-1
11,291503,3255,16460,13205,8.0,76,0
12,279963,-11252,3786,15038,0.0,76,0
13,265343,-15174,1271,16445,2.6,76,0
14,253287,-12782,1696,14478,0.0,76,0
15,244532,-9076,302,9378,0.0,76,0
16,236445,-8280,104,8384,5.7,76,0
17,232966,-4993,1612,6605,0.0,75,-1
18,229545,-2633,264,2897,2.6,75,0
19,226966,-3283,634,3917,0.6,75,0
20,224982,-2258,169,2427,6.5,75,0
21,223888,-1393,570,1963,0.0,75,0
22,221787,-2370,272,2642,2.4,75,0
23,219854,-2313,324,2637,0.1,75,0
24,218444,-1744,169,1913,0.0,75,0
0,85593,0,0,0,8.5,50,0
1,705990,363239,412630,49391,3.5,50,0
2,883614,115293,228566,113273,0.0,51,1
3,918411,-1533,89214,90747,1.7,51,0
4,890460,-41407,49770,91177,3.9,51,0
5,876080,-25935,29722,55657,4.5,51,0
6,840298,-42750,13936,56686,2.7,51,0
7,868612,16887,41119,24232,2.7,51,0
8,845048,-23821,19312,43133,2.4,51,0
9,845745,-5839,13923,19762,7.6,51,0
10,876182,24901,47308,22407,2.3,51,0
11,896140,11249,43732,32483,4.5,51,0
12,854955,-38120,11815,49935,1.7,51,0
13,661743,-193220,2068,195288,0.0,50,-1
14,600780,-63740,6908,70648,0.0,50,0
15,527388,-74673,1803,76476,0.0,50,0
16,467678,-61380,139,61519,0.0,50,0
17,415903,-43077,958,44035,0.0,50,0
18,415147,-10840,1159,11999,0.0,50,0
19,405276,-12253,2041,14294,0.0,50,0
20,396358,-9340,805,10145,0.0,50,0
21,390042,-6744,1094,7838,1.1,50,0
22,386177,-4442,2262,6704,4.3,50,0
23,381018,-5454,1856,7310,1.0,50,0
24,378552,-3299,1713,5012,0.0,50,0
0,115657,0,0,0,1.1,50,0
1,112604,-15068,12146,27214,9.6,50,0
2,150896,23884,53185,29301,2.0,50,0
3,160888,5720,28964,23244,4.4,50,0
4,143308,-19459,11842,31301,3.7,50,0
5,124438,-20283,5035,25318,6.8,50,0
6,114897,-11541,3519,15060,0.0,50,0
7,102454,-12767,2126,14893,1.2,49,-1
8,92147,-10767,1997,12764,1.8,49,0
9,90464,-2977,2640,5617,1.8,49,0
10,85145,-5330,1961,7291,1.3,48,-1
11,82541,-3267,2188,5455,2.6,48,0
12,79616,-3039,1228,4267,4.5,48,0
13,76341,-3482,875,4357,3.8,48,0
14,75536,-1265,3382,4647,0.0,47,-1
15,73363,-2272,1451,3723,0.8,47,0
16,70937,-2630,1365,3995,6.2,47,0
17,72026,-1108,3977,5085,2.7,47,0
18,68234,-1713,1519,3232,0.0,47,0
19,63128,-5471,327,5798,0.0,47,0
20,59424,-3772,28,3800,0.0,47,0
21,57295,-2204,19,2223,0.0,47,0
22,56127,-1246,90,1336,0.0,47,0
23,54890,-1259,139,1398,4.0,47,0
24,54639,-399,272,671,0.0,47,0
0,0,0,0,0,3.2,45,0
1,110619,64746,89849,25103,0.0,45,0
2,110312,-3575,26010,29585,1.1,45,0
3,115620,197,16308,16111,4.1,45,0
4,106618,-10678,9987,20665,0.0,45,0
5,106534,-3370,10509,13879,0.0,44,-1
6,108585,-80,11131,11211,1.3,44,0
7,122825,11037,20099,9062,2.5,44,0
8,113605,-7676,14460,22136,0.0,44,0
9,104993,-9663,2230,11893,0.0,44,0
10,101792,-4187,4503,8690,0.0,44,0
11,102339,-652,5076,5728,3.1,44,0
12,102971,181,4661,4480,1.0,44,0
13,102019,-1450,3560,5010,1.0,44,0
14,104186,866,7568,6702,0.9,44,0
15,108519,3708,8246,4538,0.8,44,0
16,110296,1264,8446,7182,0.0,44,0
